description-word,descripting,word-no,valence-mean,valence-SD,arousal-mean,arousal-SD,dominance-mean,dominance-SD,word-freq
cemetery,cemeteri,65,2.63,1.4,4.82,2.66,4.27,2.14,15
chair,chair,66,5.08,0.98,3.15,1.77,4.56,1.6,66
champ,champ,682,7.18,1.97,6,2.43,6.77,2,1
champion,champion,67,8.44,0.9,5.85,3.15,6.5,2.85,23
chance,chanc,683,6.02,1.77,5.38,2.58,4.64,1.93,131
chaos,chao,684,4.17,2.36,6.67,2.06,3.86,1.95,17
charm,charm,68,6.77,1.58,5.16,2.25,5.57,2.25,26
cheer,cheer,69,8.1,1.17,6.12,2.45,6,2.06,8
child,child,70,7.08,1.98,5.55,2.29,5.1,2.3,213
chin,chin,685,5.29,1.27,3.31,1.98,5.26,1.48,27
chocolate,chocol,505,6.88,1.89,5.29,2.55,5.18,1.97,9
christmas,christma,686,7.8,1.55,6.27,2.56,5.37,2.09,27
church,church,71,6.28,2.31,4.34,2.45,5,2.42,348
circle,circl,687,5.67,1.26,3.86,2.13,5.03,1.46,60
circus,circus,72,7.3,1.84,5.97,2.59,5.39,2.25,7
city,citi,73,6.03,1.37,5.24,2.53,5.74,2.08,393
cliff,cliff,553,4.67,2.08,6.25,2.15,4.35,2.11,11
clock,clock,688,5.14,1.54,4.02,2.54,4.67,1.97,20
clothing,cloth,74,6.54,1.85,4.78,2.88,5.33,2.14,20
clouds,cloud,533,6.18,2.18,3.3,2.08,5.22,1.66,38
clumsy,clumsi,689,4,2.22,5.18,2.4,3.86,1.79,6
coarse,coars,690,4.55,1.42,4.21,1.84,5,1.43,10
coast,coast,691,5.98,1.86,4.59,2.31,5.67,1.71,61
cockroach,cockroach,75,2.81,2.11,6.11,2.78,4.74,2.58,2
coffin,coffin,76,2.56,1.96,5.03,2.79,4.08,2.54,7
coin,coin,692,6.02,1.96,4.29,2.48,5.66,1.68,10
cold,cold,693,4.02,1.99,5.19,2.23,4.69,1.73,171
color,color,694,7.02,1.57,4.73,2.64,6.17,1.82,141
column,column,695,5.17,0.85,3.62,1.91,4.81,1.58,71
comedy,comedi,77,8.37,0.94,5.85,2.81,5.44,2.08,39
comfort,comfort,696,7.07,2.14,3.93,2.85,5.7,2.05,43
computer,comput,552,6.24,1.61,4.75,1.93,5.29,1.99,13
concentrate,concentr,78,5.2,1.28,4.65,2.13,4.97,1.75,11
confident,confid,79,7.98,1.29,6.22,2.41,7.68,1.94,16
confused,confus,80,3.21,1.51,6.03,1.88,4.24,1.91,44
consoled,consol,81,5.78,1.64,4.53,2.22,4.44,1.84,2
contempt,contempt,82,3.85,2.13,5.28,2.04,5.13,1.73,15
contents,content,83,4.89,0.89,4.32,2.14,4.85,1.49,16
context,context,84,5.2,1.38,4.22,2.24,5.17,1.39,2
controlling,control,85,3.8,2.25,6.1,2.19,5.17,3.15,23
cook,cook,697,6.16,1.89,4.44,1.96,5.14,1.49,47
cord,cord,698,5.1,1.09,3.54,2.09,5,1.22,6
cork,cork,699,5.22,1.13,3.8,2.18,4.98,1.04,9
corner,corner,700,4.36,1.21,3.91,1.92,4.12,1.66,115
corpse,corps,86,2.18,1.48,4.74,2.94,3.59,2.44,7
corridor,corridor,701,4.88,1.14,3.63,2.41,5,1.48,17
corrupt,corrupt,702,3.32,2.32,4.67,2.35,4.64,2.3,8
cottage,cottag,87,6.45,1.52,3.39,2.54,5.39,1.78,19
couple,coupl,506,7.41,1.97,6.39,2.31,6.02,2.28,122
cow,cow,554,5.57,1.53,3.49,2.13,5.32,1.61,29
coward,coward,703,2.74,1.64,4.07,2.19,2.83,1.61,8
cozy,cozi,88,7.39,1.53,3.32,2.28,4.89,2.28,1
crash,crash,89,2.31,1.44,6.95,2.44,3.44,2.21,20
crime,crime,704,2.89,2.06,5.41,2.69,4.12,2.24,34
criminal,crimin,705,2.93,1.66,4.79,2.51,3.34,1.73,24
crisis,crisi,706,2.74,2.23,5.44,3.07,3.6,2.47,82
crown,crown,90,6.58,1.42,4.28,2.53,6.06,2.15,19
crucify,crucifi,91,2.23,1.72,6.47,2.47,3.74,2.48,2
crude,crude,707,3.12,1.65,5.07,2.37,4.27,1.94,15
cruel,cruel,92,1.97,1.67,5.68,2.65,4.24,2.84,15
crushed,crush,93,2.21,1.74,5.52,2.87,3.36,2.69,10
crutch,crutch,708,3.43,1.62,4.14,2.05,3.91,1.79,1
cuddle,cuddl,94,7.72,1.92,4.4,2.67,5.85,2.42,0
cuisine,cuisin,709,6.64,1.48,4.39,1.99,5.41,1.19,1
curious,curious,95,6.08,1.63,5.82,1.64,5.42,1.6,46
curtains,curtain,710,4.83,0.83,3.67,1.83,5.05,1.56,8
custom,custom,96,5.85,1.53,4.66,2.12,5,1.87,14
cut,cut,711,3.64,2.08,5,2.32,4.7,1.98,192
cute,cute,97,7.62,1.01,5.53,2.71,4.86,2.32,5
cyclone,cyclon,98,3.6,2.38,6.36,2.89,4.89,2.56,0
dagger,dagger,99,3.38,1.77,6.14,2.64,4.52,2.27,1
damage,damag,712,3.05,1.65,5.57,2.26,3.88,1.86,33
dancer,dancer,507,7.14,1.56,6,2.2,6.02,1.93,31
danger,danger,713,2.95,2.22,7.32,2.07,3.59,2.31,70
dark,dark,714,4.71,2.36,4.28,2.21,4.84,2.15,185
dawn,dawn,715,6.16,2.33,4.39,2.81,5.16,2.23,28
daylight,daylight,716,6.8,2.17,4.77,2.5,5.48,2.14,15
dazzle,dazzl,717,7.29,1.09,6.33,2.02,5.62,1.81,1
dead,dead,588,1.94,1.76,5.73,2.73,2.84,2.32,174
death,death,100,1.61,1.4,4.59,3.07,3.47,2.5,277
debt,debt,101,2.22,1.17,5.68,2.74,3.02,2.16,13
deceit,deceit,718,2.9,1.63,5.68,2.46,3.95,2.12,2
decompose,decompos,102,3.2,1.81,4.65,2.39,4.02,1.91,1
decorate,decor,719,6.93,1.3,5.14,2.39,6.05,1.86,2
defeated,defeat,103,2.34,1.66,5.09,3,3.11,2.34,15
defiant,defiant,104,4.26,2.12,6.1,2.51,5.77,2.4,3
deformed,deform,720,2.41,1.66,4.07,2.34,3.95,2.18,0
delayed,delay,721,3.07,1.74,5.62,2.39,3.64,1.94,25
delight,delight,105,8.26,1.04,5.44,2.88,5.79,2.24,29
demon,demon,106,2.11,1.56,6.76,2.68,4.89,2.89,9
dentist,dentist,589,4.02,2.23,5.73,2.13,3.8,2.16,12
depressed,depress,107,1.83,1.42,4.72,2.95,2.74,2.13,11
depression,depress,108,1.85,1.67,4.54,3.19,2.91,2.27,24
derelict,derelict,722,4.28,1.84,4.1,1.94,4.78,1.56,1
deserter,desert,109,2.45,1.8,5.5,2.55,3.77,2.29,0
desire,desir,508,7.69,1.39,7.35,1.76,6.49,1.83,79
despairing,despair,110,2.43,1.47,5.68,2.37,3.43,2.11,4
despise,despis,111,2.03,1.38,6.28,2.43,4.72,2.8,7
destroy,destroy,112,2.64,2.03,6.83,2.38,4.94,2.86,48
destruction,destruct,723,3.16,2.44,5.82,2.71,3.93,2.29,38
detached,detach,113,3.86,1.88,4.26,2.57,3.63,2.15,12
detail,detail,724,5.55,1.58,4.1,2.24,5.21,1.6,72
detest,detest,114,2.17,1.3,6.06,2.39,5.83,2.6,1
devil,devil,115,2.21,1.99,6.07,2.61,5.35,2.75,25
devoted,devot,116,7.41,1.37,5.23,2.21,6.18,2.36,51
diamond,diamond,117,7.92,1.2,5.53,2.96,5.54,2.28,8
dignified,dignifi,118,7.1,1.26,4.12,2.29,6.12,2.4,7
dinner,dinner,509,7.16,1.5,5.43,2.14,6.1,1.87,91
diploma,diploma,119,8,1.39,5.67,2.8,6.76,2.5,0
dirt,dirt,725,4.17,1.77,3.76,2.26,4.83,1.82,43
dirty,dirti,590,3.08,2.05,4.88,2.29,4.7,2.12,36
disappoint,disappoint,120,2.39,1.44,4.92,2.64,3.29,2.32,0
disaster,disast,121,1.73,1.13,6.33,2.7,3.52,2.42,26
discomfort,discomfort,726,2.19,1.23,4.17,2.44,3.86,2.26,7
discouraged,discourag,122,3,2.16,4.53,2.11,3.61,2.01,15
disdainful,disdain,123,3.68,1.9,5.04,2.14,4.55,1.92,2
disgusted,disgust,124,2.45,1.41,5.42,2.59,4.34,1.94,6
disloyal,disloy,125,1.93,1.61,6.56,2.21,3.79,2.75,2
displeased,displeas,126,2.79,2.23,5.64,2.48,4.19,2.19,7
distressed,distress,127,1.94,1.1,6.4,2.38,3.76,2.41,4
disturb,disturb,727,3.66,2,5.8,2.39,4.55,1.9,10
diver,diver,510,6.45,1.55,5.04,2.1,5.04,1.91,1
divorce,divorc,128,2.22,1.88,6.33,2.71,3.26,2.24,29
doctor,doctor,129,5.2,2.54,5.86,2.7,4.89,2.75,100
dog,dog,511,7.57,1.66,5.76,2.5,6.25,2.1,75
doll,doll,728,6.09,1.96,4.24,2.43,4.61,2.07,10
dollar,dollar,729,7.47,1.72,6.07,2.67,6.33,2.42,46
door,door,130,5.13,1.44,3.8,2.29,4.69,1.72,312
dove,dove,730,6.9,1.54,3.79,2.28,5.48,1.7,4
dreadful,dread,131,2.26,1.91,5.84,2.62,4.1,2.36,10
dream,dream,132,6.73,1.75,4.53,2.72,5.53,1.98,64
dreary,dreari,731,3.05,1.58,2.98,2.18,3.81,1.64,6
dress,dress,133,6.41,1.34,4.05,1.89,5,1.89,67
drown,drown,591,1.92,1.48,6.57,2.33,2.86,1.99,3
dummy,dummi,732,3.38,1.7,4.35,2.25,3.67,2.02,3
dump,dump,733,3.21,1.87,4.12,2.36,3.83,1.87,4
dustpan,dustpan,555,3.98,1.68,3.43,2,5.45,1.81,0
earth,earth,134,7.15,1.67,4.24,2.49,5.61,2.3,150
easy,easi,734,7.1,1.91,4.48,2.82,7,1.63,125
easygoing,easygo,135,7.2,1.5,4.3,2.52,5.25,1.75,1
eat,eat,136,7.47,1.73,5.69,2.51,5.6,2.12,61
ecstasy,ecstasi,735,7.98,1.52,7.38,1.92,6.68,2.08,6
education,educ,137,6.69,1.77,5.74,2.46,6.15,2.35,214
egg,egg,736,5.29,1.82,3.76,2.39,4.49,2.16,12
elated,elat,138,7.45,1.77,6.21,2.3,5.53,2.35,3
elbow,elbow,737,5.12,0.92,3.81,2.14,4.88,1.52,10
elegant,eleg,139,7.43,1.26,4.53,2.65,5.95,2.09,14
elevator,elev,738,5.44,1.18,4.16,1.99,4.32,1.69,12
embarrassed,embarrass,140,3.03,1.85,5.87,2.55,2.87,1.99,8
embattled,embattl,141,4.39,1.63,5.36,2.37,4.81,1.79,1
employment,employ,147,6.47,1.81,5.28,2.12,5.73,2.08,47
engaged,engag,143,8,1.38,6.77,2.07,6.49,2.22,47
engine,engin,148,5.2,1.18,3.98,2.33,5,1.77,50
enjoyment,enjoy,145,7.8,1.2,5.2,2.72,6.46,1.77,21
ennui,ennui,146,5.09,1.76,4.4,2.33,4.67,1.8,0
enraged,enrag,149,2.46,1.65,7.97,2.17,6.33,2.92,1
erotic,erot,512,7.43,1.53,7.24,1.97,6.39,2.16,8
errand,errand,150,4.58,1.74,3.85,1.92,4.78,1.51,7
event,event,740,6.21,1.63,5.1,2.4,5.52,1.57,81
evil,evil,741,3.23,2.64,6.39,2.44,5.25,2.6,72
excellence,excel,151,8.38,0.96,5.54,2.67,7.28,2.32,15
excitement,excit,152,7.5,2.2,7.67,1.91,6.18,2.17,32
excuse,excus,153,4.05,1.41,4.48,2.29,4.07,2.1,27
execution,execut,154,2.37,2.06,5.71,2.74,4.11,2.66,15
exercise,exercis,155,7.13,1.58,6.84,2.06,5.68,2.44,58
fabric,fabric,742,5.3,1.2,4.14,1.98,5.03,1.61,15
face,face,556,6.39,1.6,5.04,2.18,5.67,1.58,371
failure,failur,156,1.7,1.07,4.95,2.81,2.4,2.18,89
fall,fall,743,4.09,2.21,4.7,2.48,4,2.15,147
FALSE,fals,744,3.27,1.4,3.43,2.09,4.1,1.56,29
fame,fame,157,7.93,1.29,6.55,2.46,6.85,2.14,18
family,famili,158,7.65,1.55,4.8,2.71,6,1.87,331
famous,famous,745,6.98,2.07,5.73,2.68,6.32,2.18,89
fantasy,fantasi,746,7.41,1.9,5.14,2.82,6.43,2.05,14
farm,farm,557,5.53,1.85,3.9,1.95,5.59,1.81,125
fascinate,fascin,159,7.34,1.68,5.83,2.73,6.15,1.89,3
fat,fat,160,2.28,1.92,4.81,2.8,4.47,3.06,60
father,father,161,7.08,2.2,5.92,2.6,5.63,2.89,383
fatigued,fatigu,162,3.28,1.43,2.64,2.19,3.78,1.97,3
fault,fault,747,3.43,1.38,4.07,1.69,4.02,1.66,22
favor,favor,748,6.46,1.52,4.54,1.86,5.67,1.76,78
fear,fear,592,2.76,2.12,6.96,2.17,3.22,2.2,127
fearful,fear,163,2.25,1.18,6.33,2.28,3.64,2.18,13
feeble,feebl,164,3.26,1.47,4.1,2.07,2.71,1.64,8
festive,festiv,749,7.3,2.26,6.58,2.29,5.77,2.34,2
fever,fever,750,2.76,1.64,4.29,2.31,3.52,2.15,19
field,field,558,6.2,1.37,4.08,2.41,5.84,1.94,274
fight,fight,751,3.76,2.63,7.15,2.19,5.27,2.69,98
filth,filth,165,2.47,1.68,5.12,2.32,3.81,2.06,2
finger,finger,752,5.29,1.42,3.78,2.42,5.05,1.7,40
fire,fire,166,3.22,2.06,7.17,2.06,4.49,2.49,187
fireworks,firework,513,7.55,1.5,6.67,2.12,5.51,1.98,5
fish,fish,559,6.04,1.94,4,2.19,6.02,1.68,35
flabby,flabbi,167,2.66,1.87,4.82,2.81,3.31,1.9,0
flag,flag,753,6.02,1.66,4.6,2.35,5.5,1.66,16
flirt,flirt,754,7.52,1.19,6.91,1.69,6.24,2.33,1
flood,flood,755,3.19,1.66,6,2.02,3.24,2.14,19
flower,flower,168,6.64,1.78,4,2.44,4.98,2.17,23
foam,foam,756,6.07,2.03,5.26,2.54,5.24,1.97,37
food,food,514,7.65,1.37,5.92,2.11,6.18,2.48,147
foot,foot,757,5.02,0.93,3.27,1.98,4.98,1.42,70
fork,fork,560,5.29,0.97,3.96,1.94,5.74,1.52,14
foul,foul,169,2.81,1.52,4.93,2.23,4.51,1.89,4
fragrance,fragranc,170,6.07,1.97,4.79,2.54,5.14,1.91,6
fraud,fraud,171,2.67,1.66,5.75,2.45,3.58,2.5,8
free,free,172,8.26,1.31,5.15,3.04,6.35,2.4,260
freedom,freedom,173,7.58,2.04,5.52,2.72,6.76,2.29,128
friend,friend,174,7.74,1.24,5.74,2.57,6.74,1.89,133
friendly,friend,175,8.43,1.08,5.11,2.96,5.92,2.42,61
frigid,frigid,758,3.5,1.85,4.75,2.56,4.27,1.98,5
frog,frog,176,5.71,1.74,4.54,2.03,5.34,1.96,1
frustrated,frustrat,177,2.48,1.64,5.61,2.76,3.5,2.12,10
fun,fun,759,8.37,1.11,7.22,2.01,6.8,1.85,44
funeral,funer,178,1.39,0.87,4.94,3.21,2.97,2.55,33
fungus,fungus,179,3.06,1.75,4.68,2.33,4.06,1.94,2
fur,fur,180,4.51,1.88,4.18,2.44,4.32,1.97,13
game,game,760,6.98,1.97,5.89,2.37,5.7,1.65,123
gangrene,gangren,181,2.28,1.91,5.7,2.96,3.36,2.34,0
garbage,garbag,182,2.98,1.96,5.04,2.5,4.24,2.02,7
garden,garden,761,6.71,1.74,4.39,2.35,6.02,1.71,60
garment,garment,762,6.07,1.61,4.49,2.5,5.3,1.96,6
garter,garter,534,6.22,1.59,5.47,2.15,5.82,1.62,2
gender,gender,763,5.73,1.55,4.38,2.13,5.6,1.84,2
gentle,gentl,183,7.31,1.3,3.21,2.57,5.1,2.16,27
germs,germ,764,2.86,1.39,4.49,2.24,3.79,1.59,1
gift,gift,184,7.77,2.24,6.14,2.76,5.52,2.54,33
girl,girl,185,6.87,1.64,4.29,2.69,5.8,2.16,220
glacier,glacier,186,5.5,1.25,4.24,2.29,4.92,2.12,1
glamour,glamour,187,6.76,1.6,4.68,2.23,5.76,2.49,5
glass,glass,765,4.75,1.38,4.27,2.07,5,1.46,99
gloom,gloom,188,1.88,1.23,3.83,2.33,3.55,2.07,14
glory,glori,189,7.55,1.68,6.02,2.71,6.85,2.23,21
god,god,190,8.15,1.27,5.95,2.84,5.88,2.89,318
gold,gold,191,7.54,1.63,5.76,2.79,5.85,2.46,52
golfer,golfer,535,5.61,1.93,3.73,2.26,5.55,1.79,3
good,good,766,7.47,1.45,5.43,2.85,6.41,2.05,807
gossip,gossip,767,3.48,2.33,5.74,2.38,3.57,2.26,13
graduate,graduat,192,8.19,1.13,7.25,2.25,6.94,2.44,30
grass,grass,768,6.12,1.44,4.14,2.11,5.44,1.36,53
grateful,grate,193,7.37,0.97,4.58,2.14,6.18,1.77,25
greed,greed,769,3.51,1.93,4.71,2.26,4.88,2.03,3
green,green,194,6.18,2.05,4.28,2.46,4.82,2.05,116
greet,greet,770,7,1.52,5.27,2.31,5.95,2.07,7
grenade,grenad,771,3.6,1.88,5.7,2.52,4.29,2.5,3
grief,grief,195,1.69,1.04,4.78,2.84,3.5,2.35,10
grime,grime,772,3.37,1.34,3.98,2.29,4.47,1.28,0
gripe,gripe,774,3.14,1.56,5,2.19,4.67,1.79,0
guillotine,guillotin,196,2.48,2.11,6.56,2.54,4.64,2.63,0
guilty,guilti,197,2.63,1.98,6.04,2.76,3.09,2.22,29
gun,gun,593,3.47,2.48,7.02,1.84,3.53,2.72,118
gymnast,gymnast,515,6.35,1.79,5.02,2.2,5.31,1.79,1
habit,habit,775,4.11,1.77,3.95,2.11,4.3,1.79,23
hairdryer,hairdryer,561,4.84,0.84,3.71,1.75,5.57,1.27,0
hairpin,hairpin,776,5.26,1.45,3.27,2.41,5.05,1.32,1
hamburger,hamburg,777,6.27,1.5,4.55,2.14,5.32,1.21,6
hammer,hammer,198,4.88,1.16,4.58,2.02,4.75,1.88,9
hand,hand,778,5.95,1.38,4.4,2.07,5.35,1.49,431
handicap,handicap,779,3.29,1.69,3.81,2.27,4,2.24,6
handsome,handsom,199,7.93,1.47,5.95,2.73,5.19,2.22,40
haphazard,haphazard,780,4.02,1.41,4.07,2.18,4.29,1.67,2
happy,happi,200,8.21,1.82,6.49,2.77,6.63,2.43,98
hard,hard,781,5.22,1.82,5.12,2.19,5.59,1.63,202
hardship,hardship,782,2.45,1.61,4.76,2.55,4.22,2.4,9
hat,hat,783,5.46,1.36,4.1,2,5.39,1.43,56
hate,hate,201,2.12,1.72,6.95,2.56,5.05,2.95,42
hatred,hatr,202,1.98,1.92,6.66,2.56,4.3,2.76,20
hawk,hawk,536,5.88,1.62,4.39,2.29,5.5,1.69,14
hay,hay,784,5.24,1.24,3.95,2.58,5.37,1.64,19
headache,headach,203,2.02,1.06,5.07,2.74,3.6,1.98,5
headlight,headlight,785,5.24,1.51,3.81,2.22,4.88,1.47,0
heal,heal,786,7.09,1.46,4.77,2.23,5.79,1.8,2
health,health,204,6.81,1.88,5.13,2.35,5.83,1.91,105
heart,heart,787,7.39,1.53,6.34,2.25,5.49,2.11,173
heaven,heaven,205,7.3,2.39,5.61,3.2,6.15,2.56,43
hell,hell,788,2.24,1.62,5.38,2.62,3.24,2.36,95
helpless,helpless,206,2.2,1.42,5.34,2.52,2.27,1.83,21
heroin,heroin,789,4.36,2.73,5.11,2.72,4.8,2.54,2
hide,hide,207,4.32,1.91,5.28,2.51,3.4,2.12,22
highway,highway,562,5.92,1.72,5.16,2.44,5.66,1.81,40
hinder,hinder,790,3.81,1.42,4.12,2.01,4.21,1.54,0
history,histori,208,5.24,2.01,3.93,2.29,4.83,2.08,286
hit,hit,594,4.33,2.35,5.73,2.09,4.88,2.01,115
holiday,holiday,791,7.55,2.14,6.59,2.73,6.3,2.17,17
home,home,209,7.91,1.63,4.21,2.94,5.9,2.3,547
honest,honest,210,7.7,1.43,5.32,1.92,6.24,2.13,47
honey,honey,792,6.73,1.7,4.51,2.25,5.44,1.47,25
honor,honor,211,7.66,1.24,5.9,1.83,6.7,2.04,66
hooker,hooker,793,3.34,2.31,4.93,2.82,4.73,2.48,0
hope,hope,794,7.05,1.96,5.44,2.47,5.52,2.2,178
hopeful,hope,212,7.1,1.46,5.78,2.09,5.41,1.92,12
horror,horror,213,2.76,2.25,7.21,2.14,4.63,2.7,17
horse,hors,214,5.89,1.55,3.89,2.17,4.67,1.6,117
hospital,hospit,215,5.04,2.45,5.98,2.54,4.69,2.16,110
hostage,hostag,216,2.2,1.8,6.76,2.63,2.83,2.32,2
hostile,hostil,217,2.73,1.5,6.44,2.28,4.85,2.58,19
hotel,hotel,795,6,1.77,4.8,2.53,5.12,1.84,126
house,hous,563,7.26,1.72,4.56,2.41,6.08,2.12,591
hug,hug,218,8,1.55,5.35,2.76,5.79,2.41,3
humane,human,796,6.89,1.7,4.5,1.91,5.7,1.91,5
humble,humbl,219,5.86,1.42,3.74,2.33,4.76,2.25,18
humiliate,humili,797,2.24,1.34,6.14,2.42,2.6,1.94,0
humor,humor,220,8.56,0.81,5.5,2.91,6.08,2.14,47
hungry,hungri,221,3.58,2.01,5.13,2.44,4.68,2.05,23
hurricane,hurrican,798,3.34,2.12,6.83,2.06,3.07,2.18,8
hurt,hurt,222,1.9,1.26,5.85,2.49,3.33,2.22,37
hydrant,hydrant,564,5.02,0.93,3.71,1.75,5.53,1.3,0
icebox,icebox,799,4.95,1,4.17,2.11,5.05,1.05,3
idea,idea,800,7,1.34,5.86,1.81,6.26,2,195
identity,ident,801,6.57,1.99,4.95,2.24,6.4,1.89,55
idiot,idiot,223,3.16,1.91,4.21,2.47,3.18,2.13,2
idol,idol,802,6.12,1.86,4.95,2.14,5.37,2.17,7
ignorance,ignor,803,3.07,2.25,4.39,2.49,4.41,2.38,16
illness,ill,804,2.48,1.4,4.71,2.24,3.21,1.85,20
imagine,imagin,805,7.32,1.52,5.98,2.14,7.07,1.99,61
immature,immatur,806,3.39,1.7,4.15,1.96,4.85,2.2,7
immoral,immor,807,3.5,2.16,4.98,2.48,4.66,2.33,5
impair,impair,808,3.18,1.86,4.04,2.14,4.09,2.18,4
impotent,impot,224,2.81,1.92,4.57,2.59,3.43,2.43,2
impressed,impress,225,7.33,1.84,5.42,2.65,5.51,2.21,30
improve,improv,226,7.65,1.16,5.69,2.15,6.08,2.25,39
incentive,incent,809,7,1.72,5.69,2.45,5.93,2.02,12
indifferent,indiffer,810,4.61,1.28,3.18,1.85,4.84,1.67,11
industry,industri,227,5.3,1.61,4.47,2.43,4.91,2.04,171
infant,infant,811,6.95,2.08,5.05,2.66,5.67,2.48,11
infatuation,infatu,516,6.73,2.08,7.02,1.87,4.9,2.28,4
infection,infect,228,1.66,1.34,5.03,2.77,3.61,2.64,8
inferior,inferior,812,3.07,1.57,3.83,2.05,2.78,2.08,7
inhabitant,inhabit,813,5.05,1.34,3.95,1.97,5.37,1.43,0
injury,injuri,595,2.49,1.76,5.69,2.06,3.57,1.62,27
ink,ink,229,5.05,0.81,3.84,1.88,4.61,2.13,7
innocent,innoc,814,6.51,1.34,4.21,1.99,5.28,2.08,37
insane,insan,815,2.85,1.94,5.83,2.45,4.12,2.23,13
insect,insect,816,4.07,2.16,4.07,2.46,4.56,2.47,14
insecure,insecur,230,2.36,1.33,5.56,2.34,2.33,1.95,3
insolent,insol,231,4.35,1.76,5.38,2.37,4.5,2.06,2
inspire,inspir,232,6.97,1.91,5,2.53,6.34,2.11,3
inspired,inspir,233,7.15,1.85,6.02,2.67,6.67,2.31,25
insult,insult,817,2.29,1.33,6,2.46,3.62,2.05,7
intellect,intellect,818,6.82,1.96,4.75,2.5,6.3,1.98,5
intercourse,intercours,819,7.36,1.57,7,2.07,6.4,1.78,9
interest,interest,234,6.97,1.53,5.66,2.26,5.88,1.78,330
intimate,intim,821,7.61,1.51,6.98,2.21,5.86,2.29,21
intruder,intrud,822,2.77,2.32,6.86,2.41,4,2.68,1
invader,invad,823,3.05,2.01,5.5,2.4,4,2.6,1
invest,invest,824,5.93,2.1,5.12,2.42,5.88,1.95,3
iron,iron,565,4.9,1.02,3.76,2.06,5.1,1.27,43
irritate,irrit,235,3.11,1.67,5.76,2.15,5.03,2.05,0
item,item,825,5.26,0.86,3.24,2.08,5.26,1.67,54
jail,jail,236,1.95,1.27,5.49,2.67,3.81,2.71,21
jealousy,jealousi,237,2.51,1.83,6.36,2.66,3.8,2.41,4
jelly,jelli,238,5.66,1.44,3.7,2.29,4.53,1.77,3
jewel,jewel,239,7,1.72,5.38,2.54,5.59,2.19,1
joke,joke,826,8.1,1.36,6.74,1.84,6.15,1.86,22
jolly,jolli,827,7.41,1.92,5.57,2.8,6.39,1.72,4
journal,journal,828,5.14,1.49,4.05,1.96,5.26,1.42,42
joy,joy,240,8.6,0.71,7.22,2.13,6.28,2.15,40
joyful,joy,241,8.22,1.22,5.98,2.54,6.6,1.8,1
jug,jug,829,5.24,1.65,3.88,2.15,5.05,1.62,6
justice,justic,242,7.78,1.35,5.47,2.54,6.47,2.26,114
kerchief,kerchief,830,5.11,1.33,3.43,2.08,5.25,1.28,1
kerosene,kerosen,243,4.8,1.59,4.34,2.51,4.63,1.99,6
ketchup,ketchup,831,5.6,1.35,4.09,2.08,5.29,1.81,1
kettle,kettl,832,5.22,0.91,3.22,2.23,5,1.4,3
key,key,833,5.68,1.62,3.7,2.18,4.98,2.04,88
kick,kick,834,4.31,2.18,4.9,2.35,5.5,1.93,16
kids,kid,835,6.91,1.99,5.27,2.36,5.07,2.03,32
killer,killer,244,1.89,1.39,7.86,1.89,4.54,3.11,21
kind,kind,245,7.59,1.67,4.46,2.55,5.95,1.93,313
kindness,kind,246,7.82,1.39,4.3,2.62,5.67,2.63,5
king,king,247,7.26,1.67,5.51,2.77,7.38,2.1,88
kiss,kiss,248,8.26,1.54,7.32,2.03,6.93,2.28,17
kitten,kitten,517,6.86,2.13,5.08,2.45,6.86,2.01,5
knife,knife,596,3.62,2.18,5.8,2,4.12,2.18,76
knot,knot,836,4.64,1.36,4.07,2.15,4.67,1.65,8
knowledge,knowledg,249,7.58,1.32,5.92,2.32,6.78,2.41,145
lake,lake,250,6.82,1.54,3.95,2.44,4.9,2.1,54
lamb,lamb,837,5.89,1.73,3.36,2.18,4.91,1.96,7
lamp,lamp,838,5.41,1,3.8,2.12,5.27,1.61,18
lantern,lantern,839,5.57,1.19,4.05,2.28,5.07,1.82,13
laughter,laughter,251,8.45,1.08,6.75,2.5,6.45,2.45,22
lavish,lavish,840,6.21,2.03,4.93,2.4,5.64,1.61,3
lawn,lawn,841,5.24,0.86,4,1.79,5.37,1.11,15
lawsuit,lawsuit,842,3.37,2,4.93,2.44,3.92,2.02,1
lazy,lazi,843,4.38,2.02,2.65,2.06,4.07,1.93,9
leader,leader,844,7.63,1.59,6.27,2.18,7.88,1.6,74
learn,learn,252,7.15,1.49,5.39,2.22,6.34,2.17,84
legend,legend,845,6.39,1.34,4.88,1.76,5.54,1.64,26
leisurely,leisur,253,6.88,1.81,3.8,2.38,5.15,1.9,5
leprosy,leprosi,254,2.09,1.4,6.29,2.23,4,2.3,1
lesbian,lesbian,597,4.67,2.45,5.12,2.27,5.35,2.2,0
letter,letter,846,6.61,1.59,4.9,2.37,5.73,1.48,145
liberty,liberti,255,7.98,1.22,5.6,2.65,6.29,2.44,46
lice,lice,256,2.31,1.78,5,2.26,3.95,2.29,2
lie,lie,257,2.79,1.92,5.96,2.63,3.3,2.42,59
life,life,258,7.27,1.88,6.02,2.62,5.72,2.51,715
lightbulb,lightbulb,566,5.61,1.28,4.1,2.02,5.82,1.56,0
lighthouse,lighthous,847,5.89,2.08,4.41,2.44,5.25,2.02,0
lightning,lightn,598,4.57,2.66,6.61,1.77,3.67,2.19,14
limber,limber,848,5.68,1.49,4.57,2.26,5.34,1.84,2
lion,lion,518,5.57,1.99,6.2,2.16,4.12,2.33,17
